Episode,G-DPER-DDQN,PER-DDQN,MS-DDQN
0,389,378,429
1,390,178,402
2,415,1532,557
3,381,364,1278
4,1457,354,545
5,1096,154,1122
6,885,799,896
7,552,834,448
8,346,473,392
9,106,747,99
10,158,843,370
11,171,336,361
12,93,373,228
13,120,312,188
14,163,575,165
15,143,364,282
16,102,777,143
17,88,168,107
18,102,166,492
19,97,187,217
20,100,408,221
21,89,547,214
22,120,279,309
23,134,171,110
24,100,293,232
25,131,387,133
26,92,454,97
27,88,260,164
28,77,353,79
29,76,181,303
30,122,469,110
31,166,172,234
32,131,153,149
33,184,174,159
34,150,130,181
35,165,453,142
36,348,195,109
37,119,415,135
38,109,267,106
39,151,187,91
40,122,164,132
41,97,475,96
42,89,412,66
43,153,188,124
44,72,221,135
45,123,206,156
46,88,126,83
47,119,296,125
48,62,522,184
49,121,360,105
50,86,249,162
51,94,108,161
52,128,472,390
53,86,209,84
54,107,149,96
55,67,172,418
56,55,365,147
57,83,92,56
58,73,339,83
59,127,115,186
60,102,200,264
61,98,503,136
62,62,112,96
63,61,178,221
64,91,101,129
65,73,312,71
66,70,119,99
67,53,562,96
68,78,141,290
69,68,140,250
70,81,190,109
71,58,371,118
72,77,105,90
73,64,321,160
74,64,196,105
75,69,261,71
76,93,156,82
77,64,55,97
78,89,185,57
79,55,63,173
80,110,203,92
81,68,191,53
82,63,86,66
83,50,131,64
84,56,249,159
85,97,221,136
86,76,681,175
87,64,115,63
88,56,216,116
89,54,76,66
90,54,97,65
91,67,127,173
92,63,67,65
93,57,236,88
94,55,83,147
95,62,161,61
96,59,66,58
97,46,74,82
98,53,65,82
99,60,259,67
100,51,137,90
101,50,59,67
102,56,145,250
103,55,59,61
104,50,45,55
105,68,192,172
106,63,154,134
107,49,279,42
108,49,61,67
109,45,146,132
110,53,154,73
111,46,256,47
112,53,288,55
113,61,83,91
114,54,342,56
115,48,70,62
116,67,114,106
117,60,49,218
118,56,139,93
119,67,50,205
120,46,102,74
121,66,78,48
122,58,52,43
123,44,66,53
124,51,141,155
125,49,68,52
126,46,61,45
127,45,70,54
128,46,45,56
129,44,51,115
130,49,132,47
131,49,59,43
132,42,85,61
133,52,51,49
134,47,50,62
135,45,53,40
136,44,69,112
137,44,377,137
138,46,213,58
139,50,52,43
140,93,67,45
141,52,132,44
142,45,43,42
143,46,52,50
144,46,179,52
145,52,72,48
146,47,58,62
147,42,55,53
148,49,59,46
149,38,84,42
150,46,77,51
151,54,63,42
152,39,69,53
153,52,152,48
154,48,48,119
155,43,70,45
156,41,61,51
157,49,56,41
158,42,60,52
159,48,62,42
160,44,44,43
161,52,44,64
162,45,101,116
163,53,54,83
164,44,51,45
165,47,217,48
166,38,82,45
167,45,84,213
168,38,49,119
169,47,48,44
170,48,44,40
171,48,64,42
172,47,64,48
173,42,136,50
174,43,79,42
175,38,78,51
176,44,92,43
177,45,52,90
178,45,44,61
179,51,64,95
180,50,42,44
181,50,44,46
182,46,42,40
183,55,46,42
184,42,58,48
185,48,47,50
186,43,50,43
187,39,46,60
188,54,41,46
189,48,44,44
190,40,46,49
191,43,43,55
192,42,53,86
193,42,90,54
194,46,77,76
195,51,42,45
196,42,46,44
197,39,46,40
198,47,56,43
199,39,44,38
200,41,58,65
201,40,46,41
202,38,121,44
203,38,44,38
204,51,52,43
205,41,42,38
206,40,46,43
207,45,44,42
208,40,45,50
209,44,44,39
210,43,38,41
211,53,42,48
212,39,139,38
213,40,86,40
214,43,44,38
215,41,38,40
216,41,141,46
217,45,42,43
218,46,40,39
219,48,41,46
220,52,42,41
221,44,167,41
222,46,82,51
223,40,44,134
224,48,38,48
225,41,41,42
226,40,42,51
227,42,38,44
228,38,44,40
229,43,41,57
230,41,38,38
231,42,41,42
232,39,40,40
233,46,40,43
234,39,46,45
235,42,42,40
236,38,43,72
237,38,44,40
238,38,42,77
239,39,121,40
240,72,42,42
241,40,48,41
242,38,40,40
243,41,42,39
244,40,42,38
245,43,38,40
246,40,48,42
247,51,46,44
248,45,38,40
249,38,44,40
250,40,168,38
251,54,44,44
252,38,42,42
253,40,42,40
254,54,117,38
255,42,45,40
256,41,53,40
257,42,493,39
258,77,44,42
259,39,43,40
260,38,44,39
261,42,38,38
262,41,43,40
263,39,38,40
264,38,38,38
265,40,40,126
266,38,62,41
267,44,40,40
268,40,40,62
269,40,133,367
270,40,40,50
271,44,40,42
272,39,41,40
273,39,40,40
274,39,38,38
275,38,40,38
276,41,40,38
277,45,42,38
278,38,38,38
279,40,38,40
280,41,42,41
281,45,40,40
282,38,60,40
283,40,120,41
284,40,42,42
285,38,146,38
286,38,65,38
287,40,48,43
288,40,46,64
289,41,38,40
290,40,122,40
291,43,38,40
292,40,40,42
293,39,40,40
294,42,46,38
295,42,128,38
296,40,39,38
297,40,38,41
298,43,40,38
299,40,41,92
300,40,40,40
301,39,40,38
302,42,41,42
303,43,46,41
304,43,38,106
305,40,40,72
306,40,38,43
307,38,38,114
308,43,40,38
309,45,40,38
310,38,40,40
311,41,40,40
312,44,38,40
313,47,41,40
314,38,44,40
315,38,39,40
316,38,40,40
317,40,38,40
318,41,48,82
319,38,171,40
320,41,44,38
321,38,48,41
322,40,42,38
323,40,40,42
324,40,40,42
325,40,40,40
326,38,40,40
327,38,38,39
328,38,38,41
329,40,38,38
330,38,42,40
331,38,40,40
332,40,38,42
333,42,40,40
334,39,38,40
335,46,42,38
336,42,45,44
337,43,40,38
338,40,44,42
339,38,40,42
340,56,42,39
341,39,39,42
342,38,40,44
343,38,40,38
344,40,40,38
345,39,38,85
346,42,42,122
347,38,40,46
348,41,42,55
349,40,39,38
350,41,39,48
351,38,41,41
352,42,41,38
353,38,49,38
354,46,40,38
355,38,38,40
356,42,40,39
357,40,38,40
358,46,40,47
359,38,44,39
360,40,40,40
361,38,42,38
362,38,38,38
363,38,39,40
364,40,40,38
365,42,38,38
366,41,38,39
367,41,42,39
368,39,38,43
369,40,40,40
370,43,42,40
371,40,40,41
372,43,42,38
373,44,41,38
374,42,48,41
375,40,42,44
376,38,42,38
377,42,40,38
378,38,42,40
379,40,39,40
380,39,44,40
381,39,46,42
382,38,40,40
383,38,42,38
384,38,44,38
385,44,39,42
386,39,38,44
387,40,40,40
388,41,39,40
389,38,40,41
390,42,38,44
391,43,42,38
392,40,43,38
393,38,40,41
394,38,44,40
395,41,40,38
396,40,42,38
397,40,40,38
398,38,41,38
399,38,38,42
400,43,40,39
401,38,41,40
402,41,48,38
403,39,40,38
404,38,44,38
405,38,57,38
406,38,42,40
407,39,41,38
408,41,42,41
409,40,42,39
410,44,48,41
411,40,38,40
412,38,66,39
413,40,38,116
414,41,40,39
415,40,41,38
416,41,38,41
417,41,41,38
418,38,38,44
419,39,40,38
420,38,40,38
421,41,42,40
422,38,38,42
423,38,42,42
424,40,38,40
425,42,44,42
426,38,40,42
427,42,42,38
428,38,42,41
429,39,38,42
430,38,40,40
431,40,40,38
432,41,38,40
433,41,38,38
434,42,40,38
435,40,39,42
436,40,38,42
437,40,40,40
438,42,39,38
439,40,38,38
440,41,95,40
441,40,38,45
442,38,38,42
443,41,40,38
444,40,42,41
445,41,38,40
446,38,40,43
447,38,42,42
448,40,44,39
449,39,42,38
450,38,38,40
451,38,38,42
452,38,38,40
453,40,40,38
454,38,40,87
455,40,42,40
456,39,38,40
457,40,42,69
458,45,42,40
459,44,40,42
460,40,40,41
461,40,38,38
462,38,40,38
463,40,40,56
464,40,42,40
465,40,40,42
466,40,38,40
467,38,38,41
468,40,41,110
469,44,38,42
470,38,38,40
471,40,44,38
472,44,43,38
473,39,39,42
474,38,42,42
475,38,38,43
476,39,45,38
477,40,42,38
478,44,40,40
479,39,38,42
480,40,38,38
481,42,46,39
482,43,38,38
483,39,40,38
484,42,47,38
485,40,38,38
486,42,38,39
487,45,38,299
488,39,44,40
489,43,43,41
490,38,42,44
491,40,41,38
492,44,38,42
493,44,38,41
494,40,40,38
495,42,42,40
496,42,40,42
497,40,42,40
498,40,40,38
499,38,43,38
